organism,ID_link,CSPA category,UP_Protein_name,UP_entry_name,CD,ENTREZ_gene_ID,ENTREZ gene symbol,protein probability,count detection in different cell types,Phobius TM predicted yes/no,# predicted TM domains,GPI,UniProt cell surface
Mouse,O88307,1 - high confidence,Sortilin-related receptor,SORL_MOUSE,no,20660,Sorl1,1,10,1,1,0,yes
Mouse,O88393,1 - high confidence,Transforming growth factor beta receptor type 3,TGBR3_MOUSE,no,21814,Tgfbr3,1,6,1,1,0,yes
Mouse,O89001,1 - high confidence,Carboxypeptidase D,CBPD_MOUSE,no,12874,Cpd,1,21,1,1,0,yes
Mouse,P01899,1 - high confidence,"H-2 class I histocompatibility antigen, D-B alpha chain",HA11_MOUSE,no,14964,H2-D1,1,10,1,1,0,yes
Mouse,P01902,1 - high confidence,"H-2 class I histocompatibility antigen, K-D alpha chain",HA1D_MOUSE,no,14972,H2-K1,1,2,1,1,0,yes
Mouse,P01904,1 - high confidence,"H-2 class II histocompatibility antigen, E-D alpha chain",HA21_MOUSE,no,14968,H2-Ea,1,1,1,1,0,yes
Mouse,P01910,1 - high confidence,"H-2 class II histocompatibility antigen, A-K alpha chain",HA2K_MOUSE,no,14960,H2-Aa,1,2,1,1,0,yes
Mouse,P03991,1 - high confidence,"H-2 class I histocompatibility antigen, K-W28 alpha chain",HA1W_MOUSE,no,14972,H2-K1,1,7,1,1,0,yes
Mouse,P04223,1 - high confidence,"H-2 class I histocompatibility antigen, K-K alpha chain",HA1K_MOUSE,no,14972,H2-K1,1,1,1,1,0,yes
Mouse,P07141,1 - high confidence,Macrophage colony-stimulating factor 1,CSF1_MOUSE,no,12977,Csf1,1,13,1,1,0,yes
Mouse,P0C192,1 - high confidence,Leucine-rich repeat-containing protein 4B,LRC4B_MOUSE,no,272381,Lrrc4b,1,7,1,1,0,yes
Mouse,P10287,1 - high confidence,Cadherin-3,CADH3_MOUSE,no,12560,Cdh3,1,2,1,1,0,yes
Mouse,P10404,1 - high confidence,MLV-related proviral Env polyprotein [Cleaved into: Surface protein,ENV1_MOUSE,no,,0,1,19,1,2,0,yes
Mouse,P14094,1 - high confidence,Sodium/potassium-transporting ATPase subunit beta-1,AT1B1_MOUSE,no,11931,Atp1b1,1,27,1,1,0,yes
Mouse,P14231,1 - high confidence,Sodium/potassium-transporting ATPase subunit beta-2,AT1B2_MOUSE,no,11932,Atp1b2,1,21,1,1,0,yes
Mouse,P14426,1 - high confidence,"H-2 class I histocompatibility antigen, D-K alpha chain",HA13_MOUSE,no,14964,H2-D1,1,3,1,1,0,yes
Mouse,P14429,1 - high confidence,"H-2 class I histocompatibility antigen, Q7 alpha chain",HA17_MOUSE,no,15018,H2-Q7,1,7,1,1,0,yes
Mouse,P15209,1 - high confidence,BDNF/NT-3 growth factors receptor,NTRK2_MOUSE,no,18212,Ntrk2,1,13,1,1,0,yes
Mouse,P15920,1 - high confidence,V-type proton ATPase 116 kDa subunit a isoform 2,VPP2_MOUSE,no,21871,Atp6v0a2,1,11,1,7,0,yes
Mouse,P16056,1 - high confidence,Hepatocyte growth factor receptor,MET_MOUSE,no,17295,Met,1,2,1,1,0,yes
Mouse,P16305,1 - high confidence,Gamma-aminobutyric acid receptor subunit alpha-6,GBRA6_MOUSE,no,14399,Gabra6,1,1,1,4,0,yes
Mouse,P17809,1 - high confidence,"Solute carrier family 2, facilitated glucose transporter member 1",GTR1_MOUSE,no,20525,Slc2a1,1,30,1,12,0,yes
Mouse,P21995,1 - high confidence,Embigin,EMB_MOUSE,no,13723,Emb,1,29,1,1,0,yes
Mouse,P23818,1 - high confidence,Glutamate receptor 1,GRIA1_MOUSE,no,14799,Gria1,1,1,1,3,0,yes
Mouse,P26049,1 - high confidence,Gamma-aminobutyric acid receptor subunit alpha-3,GBRA3_MOUSE,no,14396,Gabra3,1,1,1,4,0,yes
Mouse,P27038,1 - high confidence,Activin receptor type-2A,AVR2A_MOUSE,no,11480,Acvr2a,1,13,1,1,0,yes
Mouse,P27573,1 - high confidence,Myelin protein P0,MYP0_MOUSE,no,17528,Mpz,1,2,1,1,0,yes
Mouse,P28828,1 - high confidence,Receptor-type tyrosine-protein phosphatase mu,PTPRM_MOUSE,no,19274,Ptprm,1,14,1,1,0,yes
Mouse,P30558,1 - high confidence,Proteinase-activated receptor 1,PAR1_MOUSE,no,14062,F2r,1,9,1,7,0,yes
Mouse,P32299,1 - high confidence,B2 bradykinin receptor,BKRB2_MOUSE,no,12062,Bdkrb2,1,2,1,7,0,yes
Mouse,P33146,1 - high confidence,Cadherin-15,CAD15_MOUSE,no,12555,Cdh15,1,1,1,1,0,yes
Mouse,P35347,1 - high confidence,Corticotropin-releasing factor receptor 1,CRFR1_MOUSE,no,12921,Crhr1,1,2,1,7,0,yes
Mouse,P35374,1 - high confidence,Type-2 angiotensin II receptor,AGTR2_MOUSE,no,11609,Agtr2,1,1,1,7,0,yes
Mouse,P35438,1 - high confidence,Glutamate [NMDA] receptor subunit zeta-1,NMDZ1_MOUSE,no,14810,Grin1,1,2,1,3,0,yes
Mouse,P35803,1 - high confidence,Neuronal membrane glycoprotein M6-b,GPM6B_MOUSE,no,14758,Gpm6b,1,13,1,4,0,yes
Mouse,P35822,1 - high confidence,Receptor-type tyrosine-protein phosphatase kappa,PTPRK_MOUSE,no,19272,Ptprk,1,10,1,1,0,yes
Mouse,P35969,1 - high confidence,Vascular endothelial growth factor receptor 1,VGFR1_MOUSE,no,14254,Flt1,1,6,1,1,0,yes
Mouse,P41593,1 - high confidence,Parathyroid hormone/parathyroid hormone-related peptide receptor,PTH1R_MOUSE,no,19228,Pth1r,1,3,1,7,0,yes
Mouse,P47746,1 - high confidence,Cannabinoid receptor 1,CNR1_MOUSE,no,12801,Cnr1,1,1,1,7,0,yes
Mouse,P52592,1 - high confidence,Sphingosine 1-phosphate receptor 2,S1PR2_MOUSE,no,14739,S1pr2,1,28,1,7,0,yes
Mouse,P54761,1 - high confidence,Ephrin type-B receptor 4,EPHB4_MOUSE,no,13846,Ephb4,1,22,1,1,0,yes
Mouse,P54763,1 - high confidence,Ephrin type-B receptor 2,EPHB2_MOUSE,no,13844,Ephb2,1,24,1,1,0,yes
Mouse,P55292,1 - high confidence,Desmocollin-2,DSC2_MOUSE,no,13506,Dsc2,1,5,1,1,0,yes
Mouse,P57716,1 - high confidence,Nicastrin,NICA_MOUSE,no,59287,Ncstn,1,24,1,1,0,yes
Mouse,P70205,1 - high confidence,Pituitary adenylate cyclase-activating polypeptide type I receptor,PACR_MOUSE,no,11517,Adcyap1r1,1,2,1,7,0,yes
Mouse,P70206,1 - high confidence,Plexin-A1,PLXA1_MOUSE,no,18844,Plxna1,1,29,1,1,0,yes
Mouse,P70207,1 - high confidence,Plexin-A2,PLXA2_MOUSE,no,18845,Plxna2,1,4,1,1,0,yes
Mouse,P70232,1 - high confidence,Neural cell adhesion molecule L1-like protein,CHL1_MOUSE,no,12661,Chl1,1,10,1,1,0,yes
Mouse,P70302,1 - high confidence,Stromal interaction molecule 1,STIM1_MOUSE,no,20866,Stim1,1,14,1,1,0,yes
Mouse,P70408,1 - high confidence,Cadherin-10,CAD10_MOUSE,no,320873,Cdh10,1,3,1,1,0,yes
Mouse,P70414,1 - high confidence,Sodium/calcium exchanger 1,NAC1_MOUSE,no,20541,Slc8a1,1,10,1,10,0,yes
Mouse,P80560,1 - high confidence,Receptor-type tyrosine-protein phosphatase N2,PTPR2_MOUSE,no,19276,Ptprn2,1,1,1,1,0,yes
Mouse,P83626,1 - high confidence,Tumor necrosis factor receptor superfamily member 26,TNR26_MOUSE,no,244237,Tnfrsf26,1,4,1,1,0,yes
Mouse,P86044,1 - high confidence,Anoctamin-9,ANO9_MOUSE,no,71345,Ano9,1,6,1,8,0,yes
Mouse,P97300,1 - high confidence,Neuroplastin,NPTN_MOUSE,no,20320,Nptn,1,31,1,1,0,yes
Mouse,P97378,1 - high confidence,Interleukin-12 receptor subunit beta-2,I12R2_MOUSE,no,16162,Il12rb2,1,2,1,1,0,yes
Mouse,P97792,1 - high confidence,Coxsackievirus and adenovirus receptor homolog,CXAR_MOUSE,no,13052,Cxadr,1,10,1,1,0,yes
Mouse,P97798,1 - high confidence,Neogenin,NEO1_MOUSE,no,18007,Neo1,1,23,1,1,0,yes
Mouse,Q00993,1 - high confidence,Tyrosine-protein kinase receptor UFO,UFO_MOUSE,no,26362,Axl,1,9,1,1,0,yes
Mouse,Q01097,1 - high confidence,Glutamate [NMDA] receptor subunit epsilon-2,NMDE2_MOUSE,no,14812,Grin2b,1,1,1,4,0,yes
Mouse,Q01279,1 - high confidence,Epidermal growth factor receptor,EGFR_MOUSE,no,13649,Egfr,1,16,1,1,0,yes
Mouse,Q01338,1 - high confidence,Alpha-2A adrenergic receptor,ADA2A_MOUSE,no,11551,Adra2a,1,1,1,7,0,yes
Mouse,Q01705,1 - high confidence,Neurogenic locus notch homolog protein 1,NOTC1_MOUSE,no,18128,Notch1,1,7,1,1,0,yes
Mouse,Q01815,1 - high confidence,Voltage-dependent L-type calcium channel subunit alpha-1C,CAC1C_MOUSE,no,12288,Cacna1c,1,2,1,20,0,yes
Mouse,Q03145,1 - high confidence,Ephrin type-A receptor 2,EPHA2_MOUSE,no,13836,Epha2,1,22,1,1,0,yes
Mouse,Q05909,1 - high confidence,Receptor-type tyrosine-protein phosphatase gamma,PTPRG_MOUSE,no,19270,Ptprg,1,17,1,2,0,yes
Mouse,Q05BQ1,1 - high confidence,Protein turtle homolog A,TUTLA_MOUSE,no,93842,Igsf9,1,1,1,1,0,yes
Mouse,Q2EY15,1 - high confidence,Protogenin,PRTG_MOUSE,no,235472,Prtg,1,9,1,1,0,yes
Mouse,Q2MV57,1 - high confidence,Tectonic-2,TECT2_MOUSE,no,67978,Tctn2,1,6,1,1,0,yes
Mouse,Q2PZL6,1 - high confidence,Protocadherin Fat 4,FAT4_MOUSE,no,329628,Fat4,1,7,1,1,0,yes
Mouse,Q2YFS1,1 - high confidence,Paired immunoglobulin-like type 2 receptor beta-2,PILB2_MOUSE,no,545812,Pilrb2,1,5,1,1,0,yes
Mouse,Q32M26,1 - high confidence,Uncharacterized protein C11orf87 homolog,CK087_MOUSE,no,330941,0,1,2,1,1,0,yes
Mouse,Q3TEW6,1 - high confidence,Myelin protein zero-like protein 1,MPZL1_MOUSE,no,68481,Mpzl1,1,23,1,1,0,yes
Mouse,Q3TH73,1 - high confidence,Protein tweety homolog 2,TTYH2_MOUSE,no,117160,Ttyh2,1,7,1,5,0,yes
Mouse,Q3TMX7,1 - high confidence,Sulfhydryl oxidase 2,QSOX2_MOUSE,no,227638,Qsox2,1,7,1,1,0,yes
Mouse,Q3U1J0,1 - high confidence,Sodium-coupled neutral amino acid transporter 5,S38A5_MOUSE,no,209837,Slc38a5,1,1,1,11,0,yes
Mouse,Q3UH53,1 - high confidence,Protein sidekick-1,SDK1_MOUSE,no,330222,Sdk1,1,3,1,1,0,yes
Mouse,Q3UVX5,1 - high confidence,Metabotropic glutamate receptor 5,GRM5_MOUSE,no,108071,Grm5,1,3,1,7,0,yes
Mouse,Q3UZV7,1 - high confidence,UPF0577 protein KIAA1324-like homolog,K132L_MOUSE,no,231014,0,1,4,1,1,0,yes
Mouse,Q4PZA2,1 - high confidence,Endothelin-converting enzyme 1,ECE1_MOUSE,no,230857,Ece1,1,26,1,1,0,yes
Mouse,Q4V9Z5,1 - high confidence,Seizure 6-like protein 2,SE6L2_MOUSE,no,233878,Sez6l2,1,3,1,1,0,yes
Mouse,Q4VAH7,1 - high confidence,HEPACAM family member 2,HECA2_MOUSE,no,101202,Hepacam2,1,1,1,1,0,yes
Mouse,Q56A07,1 - high confidence,Sodium channel subunit beta-2,SCN2B_MOUSE,no,72821,Scn2b,1,6,1,1,0,yes
Mouse,Q5DTL9,1 - high confidence,Sodium-driven chloride bicarbonate exchanger,S4A10_MOUSE,no,94229,Slc4a10,1,3,1,11,0,yes
Mouse,Q60673,1 - high confidence,Receptor-type tyrosine-protein phosphatase-like N,PTPRN_MOUSE,no,19275,Ptprn,1,1,1,1,0,yes
Mouse,Q60738,1 - high confidence,Zinc transporter 1,ZNT1_MOUSE,no,22782,Slc30a1,1,25,1,6,0,yes
Mouse,Q60755,1 - high confidence,Calcitonin receptor,CALCR_MOUSE,no,12311,Calcr,1,9,1,7,0,yes
Mouse,Q61009,1 - high confidence,Scavenger receptor class B member 1,SCRB1_MOUSE,no,20778,Scarb1,1,17,1,2,0,yes
Mouse,Q61137,1 - high confidence,Astrotactin-1,ASTN1_MOUSE,no,11899,Astn1,1,7,1,2,0,yes
Mouse,Q61450,1 - high confidence,Mast cell surface glycoprotein Gp49A,GP49A_MOUSE,no,14727,Gp49a,1,2,1,1,0,yes
Mouse,Q61469,1 - high confidence,Lipid phosphate phosphohydrolase 1,LPP1_MOUSE,no,19012,Ppap2a,1,13,1,5,0,yes
Mouse,Q61527,1 - high confidence,Receptor tyrosine-protein kinase erbB-4,ERBB4_MOUSE,no,13869,Erbb4,1,3,1,1,0,yes
Mouse,Q61543,1 - high confidence,Golgi apparatus protein 1,GSLG1_MOUSE,no,20340,Glg1,1,23,1,1,0,yes
Mouse,Q61549,1 - high confidence,EGF-like module-containing mucin-like hormone receptor-like 1,EMR1_MOUSE,no,13733,Emr1,1,4,1,7,0,yes
Mouse,Q61738,1 - high confidence,Integrin alpha-7 [Cleaved into: Integrin alpha-7 heavy chain; Integrin alpha-7 light chain],ITA7_MOUSE,no,16404,Itga7,1,6,1,1,0,yes
Mouse,Q61809,1 - high confidence,Leucine-rich repeat neuronal protein 1,LRRN1_MOUSE,no,16979,Lrrn1,1,7,1,1,0,yes
Mouse,Q62179,1 - high confidence,Semaphorin-4B,SEM4B_MOUSE,no,20352,Sema4b,1,18,1,1,0,yes
Mouse,Q62313,1 - high confidence,Trans-Golgi network integral membrane protein 1,TGON1_MOUSE,no,22134,Tgoln1,1,23,1,1,0,yes
Mouse,Q64735,1 - high confidence,Complement regulatory protein Crry,CRRY_MOUSE,no,12946,Crry,1,27,1,1,0,yes
Mouse,Q68ED2,1 - high confidence,Metabotropic glutamate receptor 7,GRM7_MOUSE,no,108073,Grm7,1,1,1,7,0,yes
Mouse,Q68FM6,1 - high confidence,Leucine-rich repeat and fibronectin type-III domain-containing protein 6,LRFN6_MOUSE,no,207393,Elfn2,1,3,1,1,0,yes
Mouse,Q69ZU6,1 - high confidence,Thrombospondin type-1 domain-containing protein 7A,THS7A_MOUSE,no,330267,Thsd7a,1,4,1,1,0,yes
Mouse,Q6DIB5,1 - high confidence,Multiple epidermal growth factor-like domains protein 10,MEG10_MOUSE,no,70417,Megf10,1,3,1,1,0,yes
Mouse,Q6F3F9,1 - high confidence,G-protein coupled receptor 126,GP126_MOUSE,no,215798,Gpr126,1,5,1,7,0,yes
Mouse,Q6GQU6,1 - high confidence,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3,LIGO3_MOUSE,no,237403,Lingo3,1,1,1,1,0,yes
Mouse,Q6IEE6,1 - high confidence,Transmembrane protein 132E,T132E_MOUSE,no,270893,Tmem132e,1,4,1,1,0,yes
Mouse,Q6NVD0,1 - high confidence,FRAS1-related extracellular matrix protein 2,FREM2_MOUSE,no,242022,Frem2,1,11,1,1,0,yes
Mouse,Q6P1D5,1 - high confidence,Seizure 6-like protein,SE6L1_MOUSE,no,56747,Sez6l,1,4,1,1,0,yes
Mouse,Q6P5F6,1 - high confidence,Zinc transporter ZIP10,S39AA_MOUSE,no,227059,Slc39a10,1,25,1,6,0,yes
Mouse,Q6P6J9,1 - high confidence,Thioredoxin domain-containing protein 15,TXD15_MOUSE,no,69672,Txndc15,1,17,1,1,0,yes
Mouse,Q6P9J9,1 - high confidence,Anoctamin-6,ANO6_MOUSE,no,105722,Ano6,1,29,1,8,0,yes
Mouse,Q6PGD0,1 - high confidence,Apoptosis-related protein 3,APR3_MOUSE,no,381629,4/3/2010,1,8,1,1,0,yes
Mouse,Q6PHU5,1 - high confidence,Sortilin,SORT_MOUSE,no,20661,Sort1,1,15,1,1,0,yes
Mouse,Q6PIC6,1 - high confidence,Sodium/potassium-transporting ATPase subunit alpha-3,AT1A3_MOUSE,no,232975,Atp1a3,1,4,1,8,0,yes
Mouse,Q6R5N8,1 - high confidence,Toll-like receptor 13,TLR13_MOUSE,no,279572,Tlr13,1,3,1,1,0,yes
Mouse,Q6V4S5,1 - high confidence,Protein sidekick-2,SDK2_MOUSE,no,237979,Sdk2,1,6,1,1,0,yes
Mouse,Q6VNS1,1 - high confidence,NT-3 growth factor receptor,NTRK3_MOUSE,no,18213,Ntrk3,1,6,1,1,0,yes
Mouse,Q6ZQA6,1 - high confidence,Immunoglobulin superfamily member 3,IGSF3_MOUSE,no,78908,Igsf3,1,18,1,1,0,yes
Mouse,Q71M36,1 - high confidence,Chondroitin sulfate proteoglycan 5,CSPG5_MOUSE,no,29873,Cspg5,1,10,1,1,0,yes
Mouse,Q75N73,1 - high confidence,Zinc transporter ZIP14,S39AE_MOUSE,no,213053,Slc39a14,1,30,1,6,0,yes
Mouse,Q7TN73,1 - high confidence,CAS1 domain-containing protein 1,CASD1_MOUSE,no,213819,Casd1,1,12,1,14,0,yes
Mouse,Q80T14,1 - high confidence,Extracellular matrix protein FRAS1,FRAS1_MOUSE,no,231470,Fras1,1,2,1,1,0,yes
Mouse,Q80T41,1 - high confidence,Gamma-aminobutyric acid type B receptor subunit 2,GABR2_MOUSE,no,242425,Gabbr2,1,3,1,7,0,yes
Mouse,Q80TR1,1 - high confidence,Latrophilin-1,LPHN1_MOUSE,no,330814,Lphn1,1,2,1,7,0,yes
Mouse,Q80TS3,1 - high confidence,Latrophilin-3,LPHN3_MOUSE,no,319387,Lphn3,1,5,1,7,0,yes
Mouse,Q80UG2,1 - high confidence,Plexin-A4,PLXA4_MOUSE,no,243743,Plxna4,1,1,1,1,0,yes
Mouse,Q80UL9,1 - high confidence,Junctional adhesion molecule-like,JAML1_MOUSE,no,270152,Amica1,1,3,1,1,0,yes
Mouse,Q80WT4,1 - high confidence,Probable G-protein coupled receptor 176,GP176_MOUSE,no,381413,Gpr176,1,4,1,7,0,yes
Mouse,Q80YA8,1 - high confidence,Crumbs homolog 2,CRUM2_MOUSE,no,241324,Crb2,1,6,1,1,0,yes
Mouse,Q80ZF8,1 - high confidence,Brain-specific angiogenesis inhibitor 3,BAI3_MOUSE,no,210933,Bai3,1,4,1,8,0,yes
Mouse,Q810C0,1 - high confidence,SLIT and NTRK-like protein 2,SLIK2_MOUSE,no,245450,Slitrk2,1,5,1,1,0,yes
Mouse,Q810U3,1 - high confidence,Neurofascin,NFASC_MOUSE,no,269116,Nfasc,1,7,1,1,0,yes
Mouse,Q810U4,1 - high confidence,Neuronal cell adhesion molecule,NRCAM_MOUSE,no,319504,Nrcam,1,17,1,1,0,yes
Mouse,Q8BH27,1 - high confidence,Multiple epidermal growth factor-like domains protein 9,MEGF9_MOUSE,no,230316,Megf9,1,2,1,1,0,yes
Mouse,Q8BHA1,1 - high confidence,Leucine-rich repeat-containing protein 24,LRC24_MOUSE,no,378937,Lrrc24,1,2,1,1,0,yes
Mouse,Q8BJ83,1 - high confidence,TM2 domain-containing protein 3,TM2D3_MOUSE,no,68634,Tm2d3,1,15,1,1,0,yes
Mouse,Q8BKG3,1 - high confidence,Tyrosine-protein kinase-like 7,PTK7_MOUSE,no,71461,Ptk7,1,25,1,1,0,yes
Mouse,Q8BLI4,1 - high confidence,Dermatan-sulfate epimerase,DSE_MOUSE,no,212898,Dse,1,4,1,2,0,yes
Mouse,Q8BLQ9,1 - high confidence,Cell adhesion molecule 2,CADM2_MOUSE,no,239857,Cadm2,1,13,1,1,0,yes
Mouse,Q8BMC0,1 - high confidence,Lysophosphatidic acid receptor 6,LPAR6_MOUSE,no,67168,Lpar6,1,11,1,7,0,yes
Mouse,Q8BQC3,1 - high confidence,Immunoglobulin superfamily DCC subclass member 3,IGDC3_MOUSE,no,19289,Igdcc3,1,4,1,1,0,yes
Mouse,Q8BR76,1 - high confidence,Meckelin,MKS3_MOUSE,no,329795,Tmem67,1,4,1,5,0,yes
Mouse,Q8BTJ4,1 - high confidence,Ectonucleotide pyrophosphatase/phosphodiesterase family member 4,ENPP4_MOUSE,no,224794,Enpp4,1,13,1,1,0,yes
Mouse,Q8BTY2,1 - high confidence,Sodium bicarbonate cotransporter 3,S4A7_MOUSE,no,218756,Slc4a7,1,27,1,9,0,yes
Mouse,Q8BXN9,1 - high confidence,Transmembrane protein 87A,TM87A_MOUSE,no,211499,Tmem87a,1,30,1,7,0,yes
Mouse,Q8C129,1 - high confidence,Leucyl-cystinyl aminopeptidase,LCAP_MOUSE,no,240028,Lnpep,1,31,1,1,0,yes
Mouse,Q8C145,1 - high confidence,Zinc transporter ZIP6,S39A6_MOUSE,no,106957,Slc39a6,1,29,1,6,0,yes
Mouse,Q8C341,1 - high confidence,Protein C1orf9 homolog,CA009_MOUSE,no,0,0,1,4,1,1,0,yes
Mouse,Q8C419,1 - high confidence,Probable G-protein coupled receptor 158,GP158_MOUSE,no,241263,Gpr158,1,1,1,7,0,yes
Mouse,Q8CBF3,1 - high confidence,Ephrin type-B receptor 1,EPHB1_MOUSE,no,270190,Ephb1,1,2,1,1,0,yes
Mouse,Q8CEF9,1 - high confidence,Transmembrane protein 132C,T132C_MOUSE,no,208213,Tmem132c,1,2,1,1,0,yes
Mouse,Q8CFE6,1 - high confidence,Sodium-coupled neutral amino acid transporter 2,S38A2_MOUSE,no,67760,Slc38a2,1,18,1,11,0,yes
Mouse,Q8CGQ8,1 - high confidence,Sodium/potassium/calcium exchanger 4,NCKX4_MOUSE,no,238384,Slc24a4,1,2,1,10,0,yes
Mouse,Q8CJH3,1 - high confidence,Plexin-B1,PLXB1_MOUSE,no,235611,Plxnb1,1,21,1,1,0,yes
Mouse,Q8JZM4,1 - high confidence,Delta and Notch-like epidermal growth factor-related receptor,DNER_MOUSE,no,227325,Dner,1,3,1,1,0,yes
Mouse,Q8JZZ7,1 - high confidence,Latrophilin-2,LPHN2_MOUSE,no,99633,Lphn2,1,16,1,7,0,yes
Mouse,Q8K1S3,1 - high confidence,Netrin receptor UNC5B,UNC5B_MOUSE,no,107449,Unc5b,1,6,1,1,0,yes
Mouse,Q8K209,1 - high confidence,G-protein coupled receptor 56,GPR56_MOUSE,no,14766,Gpr56,1,16,1,7,0,yes
Mouse,Q8K2P7,1 - high confidence,Sodium-coupled neutral amino acid transporter 1,S38A1_MOUSE,no,105727,Slc38a1,1,8,1,11,0,yes
Mouse,Q8R0I0,1 - high confidence,Angiotensin-converting enzyme 2,ACE2_MOUSE,no,70008,Ace2,1,1,1,1,0,yes
Mouse,Q8R373,1 - high confidence,Adipocyte adhesion molecule,ACAM_MOUSE,no,71566,Acam,1,9,1,1,0,yes
Mouse,Q8R3L5,1 - high confidence,Solute carrier organic anion transporter family member 3A1,SO3A1_MOUSE,no,108116,Slco3a1,1,14,1,12,0,yes
Mouse,Q8R464,1 - high confidence,Cell adhesion molecule 4,CADM4_MOUSE,no,260299,Cadm4,1,19,1,1,0,yes
Mouse,Q8R4Y4,1 - high confidence,Stabilin-1,STAB1_MOUSE,no,192187,Stab1,1,2,1,3,0,yes
Mouse,Q8R5M8,1 - high confidence,Cell adhesion molecule 1,CADM1_MOUSE,no,54725,Cadm1,1,28,1,1,0,yes
Mouse,Q8VDN2,1 - high confidence,Sodium/potassium-transporting ATPase subunit alpha-1,AT1A1_MOUSE,no,11928,Atp1a1,1,4,1,8,0,yes
Mouse,Q8VHN7,1 - high confidence,G-protein coupled receptor 98,GPR98_MOUSE,no,110789,Gpr98,1,2,1,7,0,yes
Mouse,Q8VHW2,1 - high confidence,Voltage-dependent calcium channel gamma-8 subunit,CCG8_MOUSE,no,81905,Cacng8,1,6,1,4,0,yes
Mouse,Q8VHY0,1 - high confidence,Chondroitin sulfate proteoglycan 4,CSPG4_MOUSE,no,121021,Cspg4,1,14,1,1,0,yes
Mouse,Q91V08,1 - high confidence,C-type lectin domain family 2 member D,CLC2D_MOUSE,no,93694,Clec2d,1,11,1,1,0,yes
Mouse,Q91V14,1 - high confidence,Solute carrier family 12 member 5,S12A5_MOUSE,no,57138,Slc12a5,1,14,1,11,0,yes
Mouse,Q91V24,1 - high confidence,ATP-binding cassette sub-family A member 7,ABCA7_MOUSE,no,27403,Abca7,1,9,1,13,0,yes
Mouse,Q91V87,1 - high confidence,Fibroblast growth factor receptor-like 1,FGRL1_MOUSE,no,116701,Fgfrl1,1,7,1,1,0,yes
Mouse,Q91YY5,1 - high confidence,Solute carrier organic anion transporter family member 1A5,SO1A5_MOUSE,no,108096,Slco1a5,1,1,1,12,0,yes
Mouse,Q91ZI0,1 - high confidence,Cadherin EGF LAG seven-pass G-type receptor 3,CELR3_MOUSE,no,107934,Celsr3,1,2,1,7,0,yes
Mouse,Q91ZV7,1 - high confidence,Plexin domain-containing protein 1,PXDC1_MOUSE,no,72324,Plxdc1,1,2,1,1,0,yes
Mouse,Q91ZV8,1 - high confidence,Probable G-protein coupled receptor 124,GP124_MOUSE,no,78560,Gpr124,1,3,1,7,0,yes
Mouse,Q923B6,1 - high confidence,Metalloreductase STEAP4,STEA4_MOUSE,no,117167,Steap4,1,4,1,6,0,yes
Mouse,Q923L3,1 - high confidence,CUB and sushi domain-containing protein 1,CSMD1_MOUSE,no,94109,Csmd1,1,4,1,1,0,yes
Mouse,Q924N4,1 - high confidence,Solute carrier family 12 member 6,S12A6_MOUSE,no,107723,Slc12a6,1,25,1,14,0,yes
Mouse,Q99J21,1 - high confidence,Mucolipin-1,MCLN1_MOUSE,no,94178,Mcoln1,1,19,1,6,0,yes
Mouse,Q99K10,1 - high confidence,Neuroligin-1,NLGN1_MOUSE,no,192167,Nlgn1,1,5,1,1,0,yes
Mouse,Q99MB3,1 - high confidence,TM2 domain-containing protein 1,TM2D1_MOUSE,no,94043,Tm2d1,1,19,1,2,0,yes
Mouse,Q99MR3,1 - high confidence,Solute carrier family 12 member 9,S12A9_MOUSE,no,83704,Slc12a9,1,21,1,13,0,yes
Mouse,Q99N28,1 - high confidence,Cell adhesion molecule 3,CADM3_MOUSE,no,94332,Cadm3,1,4,1,1,0,yes
Mouse,Q99P47,1 - high confidence,Contactin-associated protein-like 4,CNTP4_MOUSE,no,170571,Cntnap4,1,1,1,1,0,yes
Mouse,Q99PD7,1 - high confidence,Sodium/potassium/calcium exchanger 3,NCKX3_MOUSE,no,94249,Slc24a3,1,5,1,11,0,yes
Mouse,Q99PH1,1 - high confidence,Leucine-rich repeat-containing protein 4,LRRC4_MOUSE,no,192198,Lrrc4,1,5,1,2,0,yes
Mouse,Q9CS84,1 - high confidence,Neurexin-1-alpha,NRX1A_MOUSE,no,18189,Nrxn1,1,5,1,1,0,yes
Mouse,Q9CZ52,1 - high confidence,Anthrax toxin receptor 1,ANTR1_MOUSE,no,69538,Antxr1,1,17,1,1,0,yes
Mouse,Q9CZT5,1 - high confidence,Vasorin,VASN_MOUSE,no,246154,Vasn,1,9,1,1,0,yes
Mouse,Q9D1T0,1 - high confidence,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1,LIGO1_MOUSE,no,235402,Lingo1,1,5,1,1,0,yes
Mouse,Q9D387,1 - high confidence,LAMP family protein C20orf103 homolog,CT103_MOUSE,no,76161,0,1,1,1,1,0,yes
Mouse,Q9D3X9,1 - high confidence,Microfibrillar-associated protein 3-like,MFA3L_MOUSE,no,71306,Mfap3l,1,2,1,1,0,yes
Mouse,Q9D8B7,1 - high confidence,Junctional adhesion molecule C,JAM3_MOUSE,no,83964,Jam3,1,15,1,1,0,yes
